Position,Hand,Hand Type,Recommended Action
BB,QQ,Premium,Raise (almost always)
MP,TT,Strong,"Call, fold to large 3-bet"
UTG,72o,Trash,Fold (unplayable)
UTG,98s,Speculative,Fold (not profitable OOP)
MP,T3o,Trash,Fold (unplayable)
UTG,QTo,Marginal,Fold (too weak early)
MP,TT,Strong,"Call, fold to large 3-bet"
UTG+1,AA,Premium,Raise (almost always)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
MP,83o,Trash,Fold (unplayable)
MP,83o,Trash,Fold (unplayable)
SB,KTs,Speculative,"Call if no raise, fold to raise"
BTN,TT,Strong,"Raise, call 3-bet in position"
BB,T3o,Trash,Fold (unplayable)
MP,J4o,Trash,Fold (unplayable)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,KQs,Strong,"Raise, call 3-bet in position"
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,22,Marginal,Fold (too weak early)
BB,72o,Trash,Fold (unplayable)
SB,22,Marginal,"Call if folded to, fold to aggression"
UTG,KK,Premium,Raise (almost always)
UTG,A9o,Marginal,Fold (too weak early)
CO,98s,Speculative,Fold (not profitable OOP)
BTN,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,TT,Strong,"Call, fold to large 3-bet"
BTN,72o,Trash,Fold (unplayable)
UTG,72o,Trash,Fold (unplayable)
MP,22,Marginal,Fold (too weak early)
BB,KK,Premium,Raise (almost always)
BTN,QQ,Premium,Raise (almost always)
HJ,AKs,Premium,Raise (almost always)
HJ,A5s,Speculative,Fold (not profitable OOP)
CO,KQs,Strong,"Raise, call 3-bet in position"
CO,AQs,Strong,"Raise, call 3-bet in position"
MP,KTs,Speculative,Fold (not profitable OOP)
BTN,AA,Premium,Raise (almost always)
BB,83o,Trash,Fold (unplayable)
BB,KK,Premium,Raise (almost always)
UTG,J9s,Marginal,Fold (too weak early)
CO,JJ,Strong,"Raise, call 3-bet in position"
BB,T3o,Trash,Fold (unplayable)
BB,KK,Premium,Raise (almost always)
SB,72o,Trash,Fold (unplayable)
UTG+1,T3o,Trash,Fold (unplayable)
BB,J4o,Trash,Fold (unplayable)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
BB,A5s,Speculative,"Call if no raise, fold to raise"
MP,87s,Speculative,Fold (not profitable OOP)
CO,T9s,Speculative,Fold (not profitable OOP)
BB,AKs,Premium,Raise (almost always)
BTN,KQs,Strong,"Raise, call 3-bet in position"
HJ,95o,Trash,Fold (unplayable)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,A5s,Speculative,Fold (not profitable OOP)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
CO,98s,Speculative,Fold (not profitable OOP)
SB,QTo,Marginal,"Call if folded to, fold to aggression"
BB,QQ,Premium,Raise (almost always)
MP,JJ,Strong,"Call, fold to large 3-bet"
CO,AA,Premium,Raise (almost always)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,72o,Trash,Fold (unplayable)
MP,J4o,Trash,Fold (unplayable)
SB,A5s,Speculative,"Call if no raise, fold to raise"
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
BB,JJ,Strong,"Call, fold to large 3-bet"
MP,A5s,Speculative,Fold (not profitable OOP)
CO,83o,Trash,Fold (unplayable)
BTN,QQ,Premium,Raise (almost always)
UTG+1,J9s,Marginal,Fold (too weak early)
BTN,95o,Trash,Fold (unplayable)
UTG,A9o,Marginal,Fold (too weak early)
UTG,J9s,Marginal,Fold (too weak early)
HJ,T9s,Speculative,Fold (not profitable OOP)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG,J9s,Marginal,Fold (too weak early)
MP,T9s,Speculative,Fold (not profitable OOP)
BB,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,KK,Premium,Raise (almost always)
CO,KQs,Strong,"Raise, call 3-bet in position"
SB,T9s,Speculative,"Call if no raise, fold to raise"
SB,72o,Trash,Fold (unplayable)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,KQs,Strong,"Call, fold to large 3-bet"
BB,KK,Premium,Raise (almost always)
MP,98s,Speculative,Fold (not profitable OOP)
BTN,22,Marginal,"Call if folded to, fold to aggression"
MP,TT,Strong,"Call, fold to large 3-bet"
BB,95o,Trash,Fold (unplayable)
UTG,87s,Speculative,Fold (not profitable OOP)
MP,KK,Premium,Raise (almost always)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,A5s,Speculative,Fold (not profitable OOP)
BB,J4o,Trash,Fold (unplayable)
UTG,98s,Speculative,Fold (not profitable OOP)
HJ,22,Marginal,"Call if folded to, fold to aggression"
BTN,A5s,Speculative,"Call if no raise, fold to raise"
HJ,83o,Trash,Fold (unplayable)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,QQ,Premium,Raise (almost always)
BB,AA,Premium,Raise (almost always)
UTG,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,QTo,Marginal,Fold (too weak early)
SB,22,Marginal,"Call if folded to, fold to aggression"
CO,T9s,Speculative,Fold (not profitable OOP)
MP,A5s,Speculative,Fold (not profitable OOP)
SB,QQ,Premium,Raise (almost always)
MP,KQs,Strong,"Call, fold to large 3-bet"
SB,AJs,Strong,"Raise, call 3-bet in position"
BB,JJ,Strong,"Call, fold to large 3-bet"
BTN,QQ,Premium,Raise (almost always)
BB,98s,Speculative,"Call if no raise, fold to raise"
BTN,KK,Premium,Raise (almost always)
CO,AKs,Premium,Raise (almost always)
MP,98s,Speculative,Fold (not profitable OOP)
HJ,22,Marginal,"Call if folded to, fold to aggression"
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
MP,TT,Strong,"Call, fold to large 3-bet"
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
SB,TT,Strong,"Raise, call 3-bet in position"
HJ,KTs,Speculative,Fold (not profitable OOP)
BTN,72o,Trash,Fold (unplayable)
SB,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,J4o,Trash,Fold (unplayable)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
SB,J9s,Marginal,"Call if folded to, fold to aggression"
CO,87s,Speculative,Fold (not profitable OOP)
UTG+1,22,Marginal,Fold (too weak early)
BTN,87s,Speculative,"Call if no raise, fold to raise"
MP,J4o,Trash,Fold (unplayable)
CO,A5s,Speculative,Fold (not profitable OOP)
MP,T3o,Trash,Fold (unplayable)
HJ,TT,Strong,"Call, fold to large 3-bet"
UTG+1,QTo,Marginal,Fold (too weak early)
HJ,98s,Speculative,Fold (not profitable OOP)
SB,JJ,Strong,"Raise, call 3-bet in position"
UTG,87s,Speculative,Fold (not profitable OOP)
BB,KQs,Strong,"Call, fold to large 3-bet"
UTG,A5s,Speculative,Fold (not profitable OOP)
MP,AJs,Strong,"Call, fold to large 3-bet"
BTN,T9s,Speculative,"Call if no raise, fold to raise"
CO,AA,Premium,Raise (almost always)
BTN,T3o,Trash,Fold (unplayable)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
UTG,AA,Premium,Raise (almost always)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
SB,KJo,Marginal,"Call if folded to, fold to aggression"
SB,J4o,Trash,Fold (unplayable)
CO,87s,Speculative,Fold (not profitable OOP)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
HJ,KK,Premium,Raise (almost always)
UTG,QTo,Marginal,Fold (too weak early)
BTN,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
MP,A9o,Marginal,Fold (too weak early)
UTG,AQs,Strong,"Call, fold to large 3-bet"
MP,QTo,Marginal,Fold (too weak early)
HJ,KQs,Strong,"Call, fold to large 3-bet"
CO,J9s,Marginal,"Call if folded to, fold to aggression"
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,A5s,Speculative,Fold (not profitable OOP)
BTN,95o,Trash,Fold (unplayable)
CO,83o,Trash,Fold (unplayable)
SB,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
CO,87s,Speculative,Fold (not profitable OOP)
BB,J4o,Trash,Fold (unplayable)
MP,J4o,Trash,Fold (unplayable)
SB,A5s,Speculative,"Call if no raise, fold to raise"
BTN,T3o,Trash,Fold (unplayable)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,J9s,Marginal,"Call if folded to, fold to aggression"
CO,J9s,Marginal,"Call if folded to, fold to aggression"
CO,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,87s,Speculative,Fold (not profitable OOP)
UTG,AA,Premium,Raise (almost always)
UTG,J9s,Marginal,Fold (too weak early)
UTG,TT,Strong,"Call, fold to large 3-bet"
BTN,QQ,Premium,Raise (almost always)
HJ,95o,Trash,Fold (unplayable)
UTG,KJo,Marginal,Fold (too weak early)
HJ,AKs,Premium,Raise (almost always)
UTG,AA,Premium,Raise (almost always)
SB,KK,Premium,Raise (almost always)
CO,72o,Trash,Fold (unplayable)
BTN,AA,Premium,Raise (almost always)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,KK,Premium,Raise (almost always)
HJ,95o,Trash,Fold (unplayable)
CO,QQ,Premium,Raise (almost always)
BTN,AA,Premium,Raise (almost always)
UTG+1,A9o,Marginal,Fold (too weak early)
BB,95o,Trash,Fold (unplayable)
SB,A5s,Speculative,"Call if no raise, fold to raise"
MP,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,98s,Speculative,Fold (not profitable OOP)
UTG,AQs,Strong,"Call, fold to large 3-bet"
SB,95o,Trash,Fold (unplayable)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,J4o,Trash,Fold (unplayable)
UTG,A9o,Marginal,Fold (too weak early)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
SB,KTs,Speculative,"Call if no raise, fold to raise"
BB,T3o,Trash,Fold (unplayable)
SB,A5s,Speculative,"Call if no raise, fold to raise"
HJ,JJ,Strong,"Call, fold to large 3-bet"
SB,AJs,Strong,"Raise, call 3-bet in position"
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
CO,T3o,Trash,Fold (unplayable)
MP,KK,Premium,Raise (almost always)
HJ,T9s,Speculative,Fold (not profitable OOP)
BTN,83o,Trash,Fold (unplayable)
CO,72o,Trash,Fold (unplayable)
UTG+1,J4o,Trash,Fold (unplayable)
HJ,KK,Premium,Raise (almost always)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
BTN,72o,Trash,Fold (unplayable)
HJ,AQs,Strong,"Call, fold to large 3-bet"
BB,AKs,Premium,Raise (almost always)
CO,T9s,Speculative,Fold (not profitable OOP)
BTN,72o,Trash,Fold (unplayable)
UTG,A9o,Marginal,Fold (too weak early)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
SB,98s,Speculative,"Call if no raise, fold to raise"
CO,TT,Strong,"Raise, call 3-bet in position"
MP,J9s,Marginal,Fold (too weak early)
UTG,95o,Trash,Fold (unplayable)
MP,KQs,Strong,"Call, fold to large 3-bet"
MP,JJ,Strong,"Call, fold to large 3-bet"
MP,95o,Trash,Fold (unplayable)
SB,KTs,Speculative,"Call if no raise, fold to raise"
BB,QQ,Premium,Raise (almost always)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,J9s,Marginal,Fold (too weak early)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
BB,TT,Strong,"Call, fold to large 3-bet"
CO,72o,Trash,Fold (unplayable)
CO,AA,Premium,Raise (almost always)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,T3o,Trash,Fold (unplayable)
UTG+1,KJo,Marginal,Fold (too weak early)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
CO,QTo,Marginal,"Call if folded to, fold to aggression"
CO,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,A9o,Marginal,Fold (too weak early)
BB,AKs,Premium,Raise (almost always)
CO,AA,Premium,Raise (almost always)
SB,83o,Trash,Fold (unplayable)
UTG+1,72o,Trash,Fold (unplayable)
UTG,QTo,Marginal,Fold (too weak early)
CO,JJ,Strong,"Raise, call 3-bet in position"
MP,72o,Trash,Fold (unplayable)
SB,98s,Speculative,"Call if no raise, fold to raise"
UTG+1,22,Marginal,Fold (too weak early)
UTG,KJo,Marginal,Fold (too weak early)
CO,72o,Trash,Fold (unplayable)
BB,AKs,Premium,Raise (almost always)
MP,98s,Speculative,Fold (not profitable OOP)
UTG,95o,Trash,Fold (unplayable)
MP,KK,Premium,Raise (almost always)
CO,AA,Premium,Raise (almost always)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
CO,AJs,Strong,"Raise, call 3-bet in position"
BTN,98s,Speculative,"Call if no raise, fold to raise"
CO,KTs,Speculative,Fold (not profitable OOP)
UTG,QQ,Premium,Raise (almost always)
SB,AJs,Strong,"Raise, call 3-bet in position"
BTN,KQs,Strong,"Raise, call 3-bet in position"
UTG,22,Marginal,Fold (too weak early)
BB,T9s,Speculative,"Call if no raise, fold to raise"
MP,AA,Premium,Raise (almost always)
HJ,A5s,Speculative,Fold (not profitable OOP)
MP,J9s,Marginal,Fold (too weak early)
UTG,72o,Trash,Fold (unplayable)
BTN,QQ,Premium,Raise (almost always)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
CO,98s,Speculative,Fold (not profitable OOP)
MP,22,Marginal,Fold (too weak early)
BTN,QQ,Premium,Raise (almost always)
BTN,J4o,Trash,Fold (unplayable)
MP,AA,Premium,Raise (almost always)
UTG,T9s,Speculative,Fold (not profitable OOP)
UTG,KJo,Marginal,Fold (too weak early)
CO,TT,Strong,"Raise, call 3-bet in position"
MP,AQs,Strong,"Call, fold to large 3-bet"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,KJo,Marginal,Fold (too weak early)
UTG+1,72o,Trash,Fold (unplayable)
BTN,83o,Trash,Fold (unplayable)
BTN,AJs,Strong,"Raise, call 3-bet in position"
SB,KTs,Speculative,"Call if no raise, fold to raise"
BB,KTs,Speculative,"Call if no raise, fold to raise"
MP,KJo,Marginal,Fold (too weak early)
CO,87s,Speculative,Fold (not profitable OOP)
MP,J9s,Marginal,Fold (too weak early)
HJ,AQs,Strong,"Call, fold to large 3-bet"
CO,J4o,Trash,Fold (unplayable)
MP,KTs,Speculative,Fold (not profitable OOP)
CO,AKs,Premium,Raise (almost always)
BTN,KQs,Strong,"Raise, call 3-bet in position"
BTN,T3o,Trash,Fold (unplayable)
BTN,AJs,Strong,"Raise, call 3-bet in position"
BTN,87s,Speculative,"Call if no raise, fold to raise"
MP,98s,Speculative,Fold (not profitable OOP)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
MP,83o,Trash,Fold (unplayable)
BTN,AKs,Premium,Raise (almost always)
UTG+1,A9o,Marginal,Fold (too weak early)
SB,KK,Premium,Raise (almost always)
CO,AKs,Premium,Raise (almost always)
BB,AA,Premium,Raise (almost always)
UTG,83o,Trash,Fold (unplayable)
UTG,72o,Trash,Fold (unplayable)
BTN,AKs,Premium,Raise (almost always)
UTG+1,87s,Speculative,Fold (not profitable OOP)
UTG+1,T3o,Trash,Fold (unplayable)
CO,AQs,Strong,"Raise, call 3-bet in position"
CO,AKs,Premium,Raise (almost always)
MP,95o,Trash,Fold (unplayable)
SB,J4o,Trash,Fold (unplayable)
CO,TT,Strong,"Raise, call 3-bet in position"
SB,J4o,Trash,Fold (unplayable)
BB,87s,Speculative,"Call if no raise, fold to raise"
BTN,T3o,Trash,Fold (unplayable)
SB,KQs,Strong,"Raise, call 3-bet in position"
SB,KJo,Marginal,"Call if folded to, fold to aggression"
BB,AQs,Strong,"Call, fold to large 3-bet"
UTG,KQs,Strong,"Call, fold to large 3-bet"
CO,AA,Premium,Raise (almost always)
CO,T9s,Speculative,Fold (not profitable OOP)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,KK,Premium,Raise (almost always)
HJ,22,Marginal,"Call if folded to, fold to aggression"
UTG,J4o,Trash,Fold (unplayable)
HJ,95o,Trash,Fold (unplayable)
CO,TT,Strong,"Raise, call 3-bet in position"
HJ,T9s,Speculative,Fold (not profitable OOP)
MP,TT,Strong,"Call, fold to large 3-bet"
CO,KJo,Marginal,"Call if folded to, fold to aggression"
UTG,KK,Premium,Raise (almost always)
UTG,72o,Trash,Fold (unplayable)
CO,22,Marginal,"Call if folded to, fold to aggression"
HJ,AQs,Strong,"Call, fold to large 3-bet"
SB,AJs,Strong,"Raise, call 3-bet in position"
CO,KTs,Speculative,Fold (not profitable OOP)
BB,AA,Premium,Raise (almost always)
UTG+1,A5s,Speculative,Fold (not profitable OOP)
HJ,JJ,Strong,"Call, fold to large 3-bet"
BB,JJ,Strong,"Call, fold to large 3-bet"
MP,T9s,Speculative,Fold (not profitable OOP)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,AKs,Premium,Raise (almost always)
HJ,22,Marginal,"Call if folded to, fold to aggression"
BTN,83o,Trash,Fold (unplayable)
BB,AQs,Strong,"Call, fold to large 3-bet"
UTG+1,T3o,Trash,Fold (unplayable)
CO,TT,Strong,"Raise, call 3-bet in position"
UTG+1,T9s,Speculative,Fold (not profitable OOP)
CO,T9s,Speculative,Fold (not profitable OOP)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,98s,Speculative,"Call if no raise, fold to raise"
SB,AA,Premium,Raise (almost always)
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
HJ,AJs,Strong,"Call, fold to large 3-bet"
UTG,KJo,Marginal,Fold (too weak early)
MP,KJo,Marginal,Fold (too weak early)
MP,95o,Trash,Fold (unplayable)
HJ,TT,Strong,"Call, fold to large 3-bet"
BB,98s,Speculative,"Call if no raise, fold to raise"
UTG,22,Marginal,Fold (too weak early)
SB,AA,Premium,Raise (almost always)
MP,98s,Speculative,Fold (not profitable OOP)
CO,83o,Trash,Fold (unplayable)
BB,KK,Premium,Raise (almost always)
UTG,T9s,Speculative,Fold (not profitable OOP)
CO,AJs,Strong,"Raise, call 3-bet in position"
UTG,98s,Speculative,Fold (not profitable OOP)
UTG+1,TT,Strong,"Call, fold to large 3-bet"
SB,72o,Trash,Fold (unplayable)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
UTG+1,22,Marginal,Fold (too weak early)
UTG+1,87s,Speculative,Fold (not profitable OOP)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
BB,T9s,Speculative,"Call if no raise, fold to raise"
BB,AA,Premium,Raise (almost always)
UTG,KTs,Speculative,Fold (not profitable OOP)
CO,83o,Trash,Fold (unplayable)
BB,72o,Trash,Fold (unplayable)
BB,KQs,Strong,"Call, fold to large 3-bet"
MP,J9s,Marginal,Fold (too weak early)
SB,T3o,Trash,Fold (unplayable)
UTG+1,J9s,Marginal,Fold (too weak early)
SB,T9s,Speculative,"Call if no raise, fold to raise"
UTG,QTo,Marginal,Fold (too weak early)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
SB,83o,Trash,Fold (unplayable)
BTN,KQs,Strong,"Raise, call 3-bet in position"
SB,J4o,Trash,Fold (unplayable)
BB,T9s,Speculative,"Call if no raise, fold to raise"
MP,AKs,Premium,Raise (almost always)
BB,AJs,Strong,"Call, fold to large 3-bet"
CO,QQ,Premium,Raise (almost always)
MP,AKs,Premium,Raise (almost always)
SB,AQs,Strong,"Raise, call 3-bet in position"
MP,AJs,Strong,"Call, fold to large 3-bet"
CO,KTs,Speculative,Fold (not profitable OOP)
HJ,87s,Speculative,Fold (not profitable OOP)
MP,KK,Premium,Raise (almost always)
BTN,95o,Trash,Fold (unplayable)
HJ,TT,Strong,"Call, fold to large 3-bet"
MP,22,Marginal,Fold (too weak early)
UTG,AJs,Strong,"Call, fold to large 3-bet"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
BB,KQs,Strong,"Call, fold to large 3-bet"
BB,AKs,Premium,Raise (almost always)
BTN,AJs,Strong,"Raise, call 3-bet in position"
UTG,J4o,Trash,Fold (unplayable)
MP,AKs,Premium,Raise (almost always)
CO,83o,Trash,Fold (unplayable)
BB,KK,Premium,Raise (almost always)
BTN,72o,Trash,Fold (unplayable)
BTN,AA,Premium,Raise (almost always)
UTG,AQs,Strong,"Call, fold to large 3-bet"
BB,JJ,Strong,"Call, fold to large 3-bet"
UTG,KTs,Speculative,Fold (not profitable OOP)
