Position,Hand,Hand Type,Recommended Action
BTN,83o,Trash,Fold (unplayable)
HJ,A5s,Speculative,Fold (not profitable OOP)
BB,87s,Speculative,"Call if no raise, fold to raise"
MP,KK,Premium,Raise (almost always)
CO,AQs,Strong,"Raise, call 3-bet in position"
CO,AQs,Strong,"Raise, call 3-bet in position"
CO,AKs,Premium,Raise (almost always)
MP,T3o,Trash,Fold (unplayable)
BB,JJ,Strong,"Call, fold to large 3-bet"
CO,AA,Premium,Raise (almost always)
BB,JJ,Strong,"Call, fold to large 3-bet"
UTG+1,72o,Trash,Fold (unplayable)
BTN,72o,Trash,Fold (unplayable)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
SB,T9s,Speculative,"Call if no raise, fold to raise"
BTN,JJ,Strong,"Raise, call 3-bet in position"
MP,83o,Trash,Fold (unplayable)
UTG,AA,Premium,Raise (almost always)
CO,QQ,Premium,Raise (almost always)
BB,AKs,Premium,Raise (almost always)
HJ,72o,Trash,Fold (unplayable)
UTG,72o,Trash,Fold (unplayable)
UTG,AA,Premium,Raise (almost always)
MP,A9o,Marginal,Fold (too weak early)
BB,T9s,Speculative,"Call if no raise, fold to raise"
CO,AA,Premium,Raise (almost always)
UTG+1,A5s,Speculative,Fold (not profitable OOP)
CO,22,Marginal,"Call if folded to, fold to aggression"
MP,98s,Speculative,Fold (not profitable OOP)
BB,AA,Premium,Raise (almost always)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,J9s,Marginal,Fold (too weak early)
BTN,KK,Premium,Raise (almost always)
UTG+1,83o,Trash,Fold (unplayable)
SB,72o,Trash,Fold (unplayable)
CO,72o,Trash,Fold (unplayable)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
BTN,AJs,Strong,"Raise, call 3-bet in position"
HJ,T3o,Trash,Fold (unplayable)
CO,72o,Trash,Fold (unplayable)
UTG,T9s,Speculative,Fold (not profitable OOP)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,KTs,Speculative,"Call if no raise, fold to raise"
HJ,KK,Premium,Raise (almost always)
MP,A5s,Speculative,Fold (not profitable OOP)
HJ,KK,Premium,Raise (almost always)
BB,87s,Speculative,"Call if no raise, fold to raise"
CO,KTs,Speculative,Fold (not profitable OOP)
BTN,AKs,Premium,Raise (almost always)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
CO,72o,Trash,Fold (unplayable)
SB,J4o,Trash,Fold (unplayable)
BTN,TT,Strong,"Raise, call 3-bet in position"
SB,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
CO,AA,Premium,Raise (almost always)
CO,AA,Premium,Raise (almost always)
SB,KTs,Speculative,"Call if no raise, fold to raise"
UTG+1,T9s,Speculative,Fold (not profitable OOP)
MP,AKs,Premium,Raise (almost always)
BTN,T3o,Trash,Fold (unplayable)
BTN,AA,Premium,Raise (almost always)
HJ,83o,Trash,Fold (unplayable)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,T9s,Speculative,Fold (not profitable OOP)
SB,QQ,Premium,Raise (almost always)
MP,AJs,Strong,"Call, fold to large 3-bet"
BB,AQs,Strong,"Call, fold to large 3-bet"
MP,KTs,Speculative,Fold (not profitable OOP)
BTN,T3o,Trash,Fold (unplayable)
BB,T3o,Trash,Fold (unplayable)
SB,JJ,Strong,"Raise, call 3-bet in position"
SB,A5s,Speculative,"Call if no raise, fold to raise"
UTG,A5s,Speculative,Fold (not profitable OOP)
CO,KJo,Marginal,"Call if folded to, fold to aggression"
SB,T3o,Trash,Fold (unplayable)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
HJ,QQ,Premium,Raise (almost always)
MP,A5s,Speculative,Fold (not profitable OOP)
BB,TT,Strong,"Call, fold to large 3-bet"
UTG,T9s,Speculative,Fold (not profitable OOP)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,AA,Premium,Raise (almost always)
CO,A5s,Speculative,Fold (not profitable OOP)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
HJ,AA,Premium,Raise (almost always)
SB,AA,Premium,Raise (almost always)
UTG+1,83o,Trash,Fold (unplayable)
SB,87s,Speculative,"Call if no raise, fold to raise"
MP,A9o,Marginal,Fold (too weak early)
UTG,KQs,Strong,"Call, fold to large 3-bet"
SB,KTs,Speculative,"Call if no raise, fold to raise"
CO,TT,Strong,"Raise, call 3-bet in position"
UTG+1,KK,Premium,Raise (almost always)
BTN,KK,Premium,Raise (almost always)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
BB,KQs,Strong,"Call, fold to large 3-bet"
