Position,Hand,Hand Type,Recommended Action
CO,A5s,Speculative,Fold (not profitable OOP)
UTG,95o,Trash,Fold (unplayable)
SB,87s,Speculative,"Call if no raise, fold to raise"
SB,AJs,Strong,"Raise, call 3-bet in position"
BTN,AA,Premium,Raise (almost always)
UTG,T3o,Trash,Fold (unplayable)
CO,JJ,Strong,"Raise, call 3-bet in position"
BTN,AQs,Strong,"Raise, call 3-bet in position"
UTG+1,KJo,Marginal,Fold (too weak early)
CO,AKs,Premium,Raise (almost always)
UTG+1,98s,Speculative,Fold (not profitable OOP)
MP,72o,Trash,Fold (unplayable)
BB,95o,Trash,Fold (unplayable)
UTG,QTo,Marginal,Fold (too weak early)
BB,AJs,Strong,"Call, fold to large 3-bet"
CO,87s,Speculative,Fold (not profitable OOP)
MP,KQs,Strong,"Call, fold to large 3-bet"
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,TT,Strong,"Raise, call 3-bet in position"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,T9s,Speculative,Fold (not profitable OOP)
SB,J4o,Trash,Fold (unplayable)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG+1,QQ,Premium,Raise (almost always)
UTG,AA,Premium,Raise (almost always)
HJ,83o,Trash,Fold (unplayable)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
CO,KQs,Strong,"Raise, call 3-bet in position"
MP,AJs,Strong,"Call, fold to large 3-bet"
UTG,AQs,Strong,"Call, fold to large 3-bet"
HJ,AA,Premium,Raise (almost always)
MP,A5s,Speculative,Fold (not profitable OOP)
UTG,T3o,Trash,Fold (unplayable)
BB,72o,Trash,Fold (unplayable)
UTG,22,Marginal,Fold (too weak early)
UTG,QTo,Marginal,Fold (too weak early)
HJ,98s,Speculative,Fold (not profitable OOP)
UTG,KK,Premium,Raise (almost always)
UTG+1,95o,Trash,Fold (unplayable)
BTN,AKs,Premium,Raise (almost always)
BB,87s,Speculative,"Call if no raise, fold to raise"
MP,KQs,Strong,"Call, fold to large 3-bet"
BTN,T3o,Trash,Fold (unplayable)
CO,AQs,Strong,"Raise, call 3-bet in position"
CO,TT,Strong,"Raise, call 3-bet in position"
MP,JJ,Strong,"Call, fold to large 3-bet"
SB,83o,Trash,Fold (unplayable)
BTN,TT,Strong,"Raise, call 3-bet in position"
BB,98s,Speculative,"Call if no raise, fold to raise"
SB,KK,Premium,Raise (almost always)
UTG,A9o,Marginal,Fold (too weak early)
BTN,95o,Trash,Fold (unplayable)
BTN,98s,Speculative,"Call if no raise, fold to raise"
