Position,Hand,Hand Type,Recommended Action
BB,AQs,Strong,"Call, fold to large 3-bet"
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,JJ,Strong,"Raise, call 3-bet in position"
BB,QQ,Premium,Raise (almost always)
CO,98s,Speculative,Fold (not profitable OOP)
SB,KTs,Speculative,"Call if no raise, fold to raise"
CO,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,TT,Strong,"Call, fold to large 3-bet"
BB,72o,Trash,Fold (unplayable)
BTN,J4o,Trash,Fold (unplayable)
HJ,T9s,Speculative,Fold (not profitable OOP)
BB,AJs,Strong,"Call, fold to large 3-bet"
HJ,KK,Premium,Raise (almost always)
MP,AKs,Premium,Raise (almost always)
MP,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,J4o,Trash,Fold (unplayable)
MP,KJo,Marginal,Fold (too weak early)
SB,A5s,Speculative,"Call if no raise, fold to raise"
BTN,QQ,Premium,Raise (almost always)
SB,KK,Premium,Raise (almost always)
UTG,J9s,Marginal,Fold (too weak early)
CO,TT,Strong,"Raise, call 3-bet in position"
SB,72o,Trash,Fold (unplayable)
UTG,J9s,Marginal,Fold (too weak early)
BB,AJs,Strong,"Call, fold to large 3-bet"
SB,83o,Trash,Fold (unplayable)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
BB,T9s,Speculative,"Call if no raise, fold to raise"
UTG,87s,Speculative,Fold (not profitable OOP)
SB,AQs,Strong,"Raise, call 3-bet in position"
MP,AA,Premium,Raise (almost always)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
SB,KK,Premium,Raise (almost always)
MP,AJs,Strong,"Call, fold to large 3-bet"
MP,QQ,Premium,Raise (almost always)
SB,83o,Trash,Fold (unplayable)
BB,A5s,Speculative,"Call if no raise, fold to raise"
CO,AKs,Premium,Raise (almost always)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
CO,TT,Strong,"Raise, call 3-bet in position"
UTG+1,KJo,Marginal,Fold (too weak early)
UTG,22,Marginal,Fold (too weak early)
BTN,98s,Speculative,"Call if no raise, fold to raise"
MP,87s,Speculative,Fold (not profitable OOP)
BTN,T3o,Trash,Fold (unplayable)
HJ,A5s,Speculative,Fold (not profitable OOP)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,KK,Premium,Raise (almost always)
BB,KTs,Speculative,"Call if no raise, fold to raise"
MP,QTo,Marginal,Fold (too weak early)
CO,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,87s,Speculative,"Call if no raise, fold to raise"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
BB,T9s,Speculative,"Call if no raise, fold to raise"
SB,J9s,Marginal,"Call if folded to, fold to aggression"
SB,22,Marginal,"Call if folded to, fold to aggression"
SB,AJs,Strong,"Raise, call 3-bet in position"
CO,J9s,Marginal,"Call if folded to, fold to aggression"
MP,72o,Trash,Fold (unplayable)
UTG+1,83o,Trash,Fold (unplayable)
MP,QQ,Premium,Raise (almost always)
UTG+1,KJo,Marginal,Fold (too weak early)
BB,72o,Trash,Fold (unplayable)
BB,JJ,Strong,"Call, fold to large 3-bet"
SB,87s,Speculative,"Call if no raise, fold to raise"
BTN,KK,Premium,Raise (almost always)
CO,KQs,Strong,"Raise, call 3-bet in position"
SB,TT,Strong,"Raise, call 3-bet in position"
UTG,J9s,Marginal,Fold (too weak early)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
CO,AQs,Strong,"Raise, call 3-bet in position"
HJ,AA,Premium,Raise (almost always)
HJ,87s,Speculative,Fold (not profitable OOP)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
CO,TT,Strong,"Raise, call 3-bet in position"
UTG,AA,Premium,Raise (almost always)
HJ,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,TT,Strong,"Call, fold to large 3-bet"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,87s,Speculative,Fold (not profitable OOP)
BB,J4o,Trash,Fold (unplayable)
BTN,KK,Premium,Raise (almost always)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,AKs,Premium,Raise (almost always)
BTN,KK,Premium,Raise (almost always)
SB,KTs,Speculative,"Call if no raise, fold to raise"
HJ,T9s,Speculative,Fold (not profitable OOP)
UTG,A5s,Speculative,Fold (not profitable OOP)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
HJ,22,Marginal,"Call if folded to, fold to aggression"
MP,KK,Premium,Raise (almost always)
BB,AA,Premium,Raise (almost always)
HJ,AJs,Strong,"Call, fold to large 3-bet"
SB,22,Marginal,"Call if folded to, fold to aggression"
HJ,AKs,Premium,Raise (almost always)
MP,87s,Speculative,Fold (not profitable OOP)
HJ,AKs,Premium,Raise (almost always)
UTG+1,AKs,Premium,Raise (almost always)
UTG,87s,Speculative,Fold (not profitable OOP)
UTG,QTo,Marginal,Fold (too weak early)
UTG,KJo,Marginal,Fold (too weak early)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,A9o,Marginal,Fold (too weak early)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
CO,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,A9o,Marginal,Fold (too weak early)
SB,T3o,Trash,Fold (unplayable)
CO,AQs,Strong,"Raise, call 3-bet in position"
CO,72o,Trash,Fold (unplayable)
UTG,83o,Trash,Fold (unplayable)
BTN,AA,Premium,Raise (almost always)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
UTG+1,95o,Trash,Fold (unplayable)
BTN,98s,Speculative,"Call if no raise, fold to raise"
MP,KQs,Strong,"Call, fold to large 3-bet"
UTG,QQ,Premium,Raise (almost always)
BB,KTs,Speculative,"Call if no raise, fold to raise"
CO,KTs,Speculative,Fold (not profitable OOP)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,KJo,Marginal,Fold (too weak early)
UTG,AQs,Strong,"Call, fold to large 3-bet"
MP,AJs,Strong,"Call, fold to large 3-bet"
CO,KQs,Strong,"Raise, call 3-bet in position"
MP,KQs,Strong,"Call, fold to large 3-bet"
MP,AA,Premium,Raise (almost always)
BTN,JJ,Strong,"Raise, call 3-bet in position"
UTG,72o,Trash,Fold (unplayable)
BTN,KQs,Strong,"Raise, call 3-bet in position"
SB,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,KJo,Marginal,Fold (too weak early)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
CO,QQ,Premium,Raise (almost always)
HJ,JJ,Strong,"Call, fold to large 3-bet"
CO,72o,Trash,Fold (unplayable)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
SB,QQ,Premium,Raise (almost always)
BB,QQ,Premium,Raise (almost always)
MP,JJ,Strong,"Call, fold to large 3-bet"
HJ,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,TT,Strong,"Call, fold to large 3-bet"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
BB,T9s,Speculative,"Call if no raise, fold to raise"
UTG,72o,Trash,Fold (unplayable)
MP,AJs,Strong,"Call, fold to large 3-bet"
MP,AQs,Strong,"Call, fold to large 3-bet"
CO,83o,Trash,Fold (unplayable)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,87s,Speculative,Fold (not profitable OOP)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,AKs,Premium,Raise (almost always)
HJ,22,Marginal,"Call if folded to, fold to aggression"
UTG+1,T9s,Speculative,Fold (not profitable OOP)
SB,QQ,Premium,Raise (almost always)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
UTG,AA,Premium,Raise (almost always)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
SB,22,Marginal,"Call if folded to, fold to aggression"
BTN,T9s,Speculative,"Call if no raise, fold to raise"
BTN,AQs,Strong,"Raise, call 3-bet in position"
CO,98s,Speculative,Fold (not profitable OOP)
BB,A5s,Speculative,"Call if no raise, fold to raise"
HJ,QQ,Premium,Raise (almost always)
SB,AJs,Strong,"Raise, call 3-bet in position"
BTN,87s,Speculative,"Call if no raise, fold to raise"
MP,JJ,Strong,"Call, fold to large 3-bet"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
UTG+1,T3o,Trash,Fold (unplayable)
BTN,87s,Speculative,"Call if no raise, fold to raise"
MP,83o,Trash,Fold (unplayable)
HJ,83o,Trash,Fold (unplayable)
HJ,KK,Premium,Raise (almost always)
UTG,J9s,Marginal,Fold (too weak early)
HJ,T9s,Speculative,Fold (not profitable OOP)
UTG,83o,Trash,Fold (unplayable)
UTG+1,72o,Trash,Fold (unplayable)
HJ,JJ,Strong,"Call, fold to large 3-bet"
MP,A5s,Speculative,Fold (not profitable OOP)
HJ,22,Marginal,"Call if folded to, fold to aggression"
CO,T9s,Speculative,Fold (not profitable OOP)
BB,AA,Premium,Raise (almost always)
HJ,TT,Strong,"Call, fold to large 3-bet"
CO,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,A5s,Speculative,Fold (not profitable OOP)
UTG+1,AA,Premium,Raise (almost always)
BTN,98s,Speculative,"Call if no raise, fold to raise"
BB,A5s,Speculative,"Call if no raise, fold to raise"
CO,KK,Premium,Raise (almost always)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,AA,Premium,Raise (almost always)
CO,98s,Speculative,Fold (not profitable OOP)
SB,KK,Premium,Raise (almost always)
