Position,Hand,Hand Type,Recommended Action
SB,QQ,Premium,Raise (almost always)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
BTN,22,Marginal,"Call if folded to, fold to aggression"
BTN,83o,Trash,Fold (unplayable)
HJ,AKs,Premium,Raise (almost always)
CO,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,AA,Premium,Raise (almost always)
UTG,J9s,Marginal,Fold (too weak early)
MP,JJ,Strong,"Call, fold to large 3-bet"
BB,72o,Trash,Fold (unplayable)
MP,KQs,Strong,"Call, fold to large 3-bet"
MP,95o,Trash,Fold (unplayable)
MP,AKs,Premium,Raise (almost always)
HJ,95o,Trash,Fold (unplayable)
BTN,QQ,Premium,Raise (almost always)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
BTN,KK,Premium,Raise (almost always)
CO,AQs,Strong,"Raise, call 3-bet in position"
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,J4o,Trash,Fold (unplayable)
UTG,KJo,Marginal,Fold (too weak early)
SB,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,QQ,Premium,Raise (almost always)
CO,QTo,Marginal,"Call if folded to, fold to aggression"
SB,T3o,Trash,Fold (unplayable)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,87s,Speculative,Fold (not profitable OOP)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,QQ,Premium,Raise (almost always)
UTG,KK,Premium,Raise (almost always)
SB,A5s,Speculative,"Call if no raise, fold to raise"
BTN,AQs,Strong,"Raise, call 3-bet in position"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
CO,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
MP,KK,Premium,Raise (almost always)
CO,95o,Trash,Fold (unplayable)
UTG,83o,Trash,Fold (unplayable)
BTN,KK,Premium,Raise (almost always)
CO,T3o,Trash,Fold (unplayable)
UTG,T9s,Speculative,Fold (not profitable OOP)
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,AKs,Premium,Raise (almost always)
UTG,QQ,Premium,Raise (almost always)
UTG+1,A9o,Marginal,Fold (too weak early)
UTG,22,Marginal,Fold (too weak early)
UTG+1,QTo,Marginal,Fold (too weak early)
CO,AKs,Premium,Raise (almost always)
CO,J4o,Trash,Fold (unplayable)
UTG+1,QTo,Marginal,Fold (too weak early)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
SB,98s,Speculative,"Call if no raise, fold to raise"
MP,87s,Speculative,Fold (not profitable OOP)
BTN,T3o,Trash,Fold (unplayable)
MP,A9o,Marginal,Fold (too weak early)
MP,QTo,Marginal,Fold (too weak early)
SB,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,87s,Speculative,Fold (not profitable OOP)
BTN,AA,Premium,Raise (almost always)
CO,QQ,Premium,Raise (almost always)
MP,83o,Trash,Fold (unplayable)
CO,98s,Speculative,Fold (not profitable OOP)
UTG,95o,Trash,Fold (unplayable)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,KQs,Strong,"Call, fold to large 3-bet"
UTG,KJo,Marginal,Fold (too weak early)
HJ,KTs,Speculative,Fold (not profitable OOP)
BB,AA,Premium,Raise (almost always)
UTG,AQs,Strong,"Call, fold to large 3-bet"
MP,T3o,Trash,Fold (unplayable)
BTN,KK,Premium,Raise (almost always)
UTG,JJ,Strong,"Call, fold to large 3-bet"
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
HJ,J4o,Trash,Fold (unplayable)
MP,QTo,Marginal,Fold (too weak early)
BB,95o,Trash,Fold (unplayable)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
BB,83o,Trash,Fold (unplayable)
MP,T3o,Trash,Fold (unplayable)
UTG+1,95o,Trash,Fold (unplayable)
MP,AKs,Premium,Raise (almost always)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,AQs,Strong,"Call, fold to large 3-bet"
UTG+1,KK,Premium,Raise (almost always)
UTG,A9o,Marginal,Fold (too weak early)
UTG+1,J4o,Trash,Fold (unplayable)
SB,KQs,Strong,"Raise, call 3-bet in position"
SB,83o,Trash,Fold (unplayable)
CO,TT,Strong,"Raise, call 3-bet in position"
CO,22,Marginal,"Call if folded to, fold to aggression"
HJ,22,Marginal,"Call if folded to, fold to aggression"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
UTG,KK,Premium,Raise (almost always)
HJ,AKs,Premium,Raise (almost always)
UTG,22,Marginal,Fold (too weak early)
HJ,A5s,Speculative,Fold (not profitable OOP)
SB,T3o,Trash,Fold (unplayable)
HJ,QQ,Premium,Raise (almost always)
SB,KK,Premium,Raise (almost always)
UTG,95o,Trash,Fold (unplayable)
HJ,AKs,Premium,Raise (almost always)
MP,AKs,Premium,Raise (almost always)
CO,AQs,Strong,"Raise, call 3-bet in position"
HJ,72o,Trash,Fold (unplayable)
CO,T9s,Speculative,Fold (not profitable OOP)
CO,T3o,Trash,Fold (unplayable)
UTG,KK,Premium,Raise (almost always)
HJ,KTs,Speculative,Fold (not profitable OOP)
MP,A5s,Speculative,Fold (not profitable OOP)
MP,JJ,Strong,"Call, fold to large 3-bet"
SB,22,Marginal,"Call if folded to, fold to aggression"
UTG,KQs,Strong,"Call, fold to large 3-bet"
MP,22,Marginal,Fold (too weak early)
BB,AQs,Strong,"Call, fold to large 3-bet"
SB,AJs,Strong,"Raise, call 3-bet in position"
HJ,KK,Premium,Raise (almost always)
CO,JJ,Strong,"Raise, call 3-bet in position"
BB,98s,Speculative,"Call if no raise, fold to raise"
BB,AKs,Premium,Raise (almost always)
UTG+1,J4o,Trash,Fold (unplayable)
HJ,JJ,Strong,"Call, fold to large 3-bet"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
CO,22,Marginal,"Call if folded to, fold to aggression"
CO,98s,Speculative,Fold (not profitable OOP)
SB,KTs,Speculative,"Call if no raise, fold to raise"
UTG,QTo,Marginal,Fold (too weak early)
CO,QQ,Premium,Raise (almost always)
UTG+1,QQ,Premium,Raise (almost always)
CO,AKs,Premium,Raise (almost always)
UTG+1,J4o,Trash,Fold (unplayable)
UTG+1,22,Marginal,Fold (too weak early)
SB,83o,Trash,Fold (unplayable)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
BB,98s,Speculative,"Call if no raise, fold to raise"
MP,98s,Speculative,Fold (not profitable OOP)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG,QQ,Premium,Raise (almost always)
MP,AKs,Premium,Raise (almost always)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,KJo,Marginal,"Call if folded to, fold to aggression"
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,KK,Premium,Raise (almost always)
UTG,QQ,Premium,Raise (almost always)
MP,98s,Speculative,Fold (not profitable OOP)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
CO,AA,Premium,Raise (almost always)
CO,AKs,Premium,Raise (almost always)
HJ,95o,Trash,Fold (unplayable)
UTG,AJs,Strong,"Call, fold to large 3-bet"
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,AA,Premium,Raise (almost always)
BTN,AA,Premium,Raise (almost always)
HJ,KQs,Strong,"Call, fold to large 3-bet"
HJ,KK,Premium,Raise (almost always)
SB,QQ,Premium,Raise (almost always)
CO,KTs,Speculative,Fold (not profitable OOP)
CO,95o,Trash,Fold (unplayable)
UTG,A5s,Speculative,Fold (not profitable OOP)
CO,95o,Trash,Fold (unplayable)
UTG+1,A5s,Speculative,Fold (not profitable OOP)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
BB,JJ,Strong,"Call, fold to large 3-bet"
BTN,87s,Speculative,"Call if no raise, fold to raise"
HJ,72o,Trash,Fold (unplayable)
UTG,T3o,Trash,Fold (unplayable)
UTG,22,Marginal,Fold (too weak early)
UTG+1,QQ,Premium,Raise (almost always)
UTG,KTs,Speculative,Fold (not profitable OOP)
MP,A5s,Speculative,Fold (not profitable OOP)
HJ,T3o,Trash,Fold (unplayable)
SB,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,J9s,Marginal,Fold (too weak early)
MP,22,Marginal,Fold (too weak early)
MP,KJo,Marginal,Fold (too weak early)
CO,KQs,Strong,"Raise, call 3-bet in position"
HJ,JJ,Strong,"Call, fold to large 3-bet"
SB,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,AKs,Premium,Raise (almost always)
MP,T3o,Trash,Fold (unplayable)
UTG+1,72o,Trash,Fold (unplayable)
CO,J4o,Trash,Fold (unplayable)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
BTN,AKs,Premium,Raise (almost always)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
BTN,AJs,Strong,"Raise, call 3-bet in position"
UTG,KJo,Marginal,Fold (too weak early)
HJ,JJ,Strong,"Call, fold to large 3-bet"
CO,AQs,Strong,"Raise, call 3-bet in position"
BTN,J4o,Trash,Fold (unplayable)
UTG+1,AA,Premium,Raise (almost always)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
BB,KK,Premium,Raise (almost always)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
BTN,98s,Speculative,"Call if no raise, fold to raise"
BTN,83o,Trash,Fold (unplayable)
BTN,AA,Premium,Raise (almost always)
BB,KQs,Strong,"Call, fold to large 3-bet"
HJ,KK,Premium,Raise (almost always)
HJ,AQs,Strong,"Call, fold to large 3-bet"
MP,T3o,Trash,Fold (unplayable)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,AKs,Premium,Raise (almost always)
MP,A5s,Speculative,Fold (not profitable OOP)
CO,72o,Trash,Fold (unplayable)
CO,KJo,Marginal,"Call if folded to, fold to aggression"
BB,JJ,Strong,"Call, fold to large 3-bet"
SB,J9s,Marginal,"Call if folded to, fold to aggression"
SB,AJs,Strong,"Raise, call 3-bet in position"
MP,QQ,Premium,Raise (almost always)
SB,AJs,Strong,"Raise, call 3-bet in position"
HJ,KQs,Strong,"Call, fold to large 3-bet"
MP,KJo,Marginal,Fold (too weak early)
BB,T9s,Speculative,"Call if no raise, fold to raise"
BTN,A5s,Speculative,"Call if no raise, fold to raise"
HJ,J4o,Trash,Fold (unplayable)
CO,AQs,Strong,"Raise, call 3-bet in position"
MP,87s,Speculative,Fold (not profitable OOP)
MP,AJs,Strong,"Call, fold to large 3-bet"
SB,A5s,Speculative,"Call if no raise, fold to raise"
SB,J4o,Trash,Fold (unplayable)
