Position,Hand,Hand Type,Recommended Action
UTG+1,KJo,Marginal,Fold (too weak early)
CO,98s,Speculative,Fold (not profitable OOP)
SB,AQs,Strong,"Raise, call 3-bet in position"
UTG+1,KK,Premium,Raise (almost always)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG,KK,Premium,Raise (almost always)
HJ,AKs,Premium,Raise (almost always)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
BTN,T3o,Trash,Fold (unplayable)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
BB,87s,Speculative,"Call if no raise, fold to raise"
MP,T3o,Trash,Fold (unplayable)
UTG,QQ,Premium,Raise (almost always)
SB,QQ,Premium,Raise (almost always)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
UTG,95o,Trash,Fold (unplayable)
UTG,JJ,Strong,"Call, fold to large 3-bet"
MP,A5s,Speculative,Fold (not profitable OOP)
BB,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,95o,Trash,Fold (unplayable)
MP,95o,Trash,Fold (unplayable)
HJ,AJs,Strong,"Call, fold to large 3-bet"
MP,T9s,Speculative,Fold (not profitable OOP)
MP,T9s,Speculative,Fold (not profitable OOP)
MP,J9s,Marginal,Fold (too weak early)
BB,AA,Premium,Raise (almost always)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
HJ,AKs,Premium,Raise (almost always)
MP,95o,Trash,Fold (unplayable)
BTN,JJ,Strong,"Raise, call 3-bet in position"
CO,QTo,Marginal,"Call if folded to, fold to aggression"
MP,AJs,Strong,"Call, fold to large 3-bet"
HJ,AJs,Strong,"Call, fold to large 3-bet"
BTN,J4o,Trash,Fold (unplayable)
MP,T3o,Trash,Fold (unplayable)
BB,T3o,Trash,Fold (unplayable)
BB,AA,Premium,Raise (almost always)
SB,TT,Strong,"Raise, call 3-bet in position"
CO,JJ,Strong,"Raise, call 3-bet in position"
BB,AQs,Strong,"Call, fold to large 3-bet"
SB,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,AA,Premium,Raise (almost always)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
SB,AKs,Premium,Raise (almost always)
CO,AA,Premium,Raise (almost always)
BB,98s,Speculative,"Call if no raise, fold to raise"
SB,AA,Premium,Raise (almost always)
MP,KTs,Speculative,Fold (not profitable OOP)
MP,95o,Trash,Fold (unplayable)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,KJo,Marginal,Fold (too weak early)
BTN,KTs,Speculative,"Call if no raise, fold to raise"
SB,98s,Speculative,"Call if no raise, fold to raise"
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,AJs,Strong,"Call, fold to large 3-bet"
HJ,JJ,Strong,"Call, fold to large 3-bet"
MP,KQs,Strong,"Call, fold to large 3-bet"
HJ,T9s,Speculative,Fold (not profitable OOP)
SB,T9s,Speculative,"Call if no raise, fold to raise"
BTN,JJ,Strong,"Raise, call 3-bet in position"
BB,TT,Strong,"Call, fold to large 3-bet"
MP,83o,Trash,Fold (unplayable)
UTG,98s,Speculative,Fold (not profitable OOP)
BTN,AQs,Strong,"Raise, call 3-bet in position"
BB,87s,Speculative,"Call if no raise, fold to raise"
HJ,87s,Speculative,Fold (not profitable OOP)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
HJ,87s,Speculative,Fold (not profitable OOP)
UTG+1,AKs,Premium,Raise (almost always)
UTG,87s,Speculative,Fold (not profitable OOP)
HJ,22,Marginal,"Call if folded to, fold to aggression"
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG+1,T3o,Trash,Fold (unplayable)
BB,98s,Speculative,"Call if no raise, fold to raise"
SB,KK,Premium,Raise (almost always)
BB,72o,Trash,Fold (unplayable)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,83o,Trash,Fold (unplayable)
BB,TT,Strong,"Call, fold to large 3-bet"
BB,AQs,Strong,"Call, fold to large 3-bet"
BTN,AKs,Premium,Raise (almost always)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,95o,Trash,Fold (unplayable)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
CO,KK,Premium,Raise (almost always)
MP,T3o,Trash,Fold (unplayable)
UTG,AA,Premium,Raise (almost always)
MP,KTs,Speculative,Fold (not profitable OOP)
BB,KQs,Strong,"Call, fold to large 3-bet"
SB,QQ,Premium,Raise (almost always)
BB,KK,Premium,Raise (almost always)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
BB,TT,Strong,"Call, fold to large 3-bet"
SB,J9s,Marginal,"Call if folded to, fold to aggression"
CO,AQs,Strong,"Raise, call 3-bet in position"
BB,AA,Premium,Raise (almost always)
HJ,72o,Trash,Fold (unplayable)
UTG,87s,Speculative,Fold (not profitable OOP)
BB,95o,Trash,Fold (unplayable)
CO,J4o,Trash,Fold (unplayable)
MP,98s,Speculative,Fold (not profitable OOP)
HJ,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,QQ,Premium,Raise (almost always)
MP,98s,Speculative,Fold (not profitable OOP)
